Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,beta1,beta2,data_dir,dataset_name,dropout_rate,gpu_ids,hidden_dim,is_train,loss_name,lr,lr_decay_gamma,lr_decay_iters,mlflow_root_dir,n_epochs,n_layers,name,network_name,optimizer_name,phase,regression,run_name,save_dir,save_freq,scheduler_name,train_transform_name,val_transform_name,verbose,train_accuracy,train_loss,val_accuracy,val_loss
2022-01-20 11:46:28,2.2h,31a7698a393e43bbba4cc409519a17df,layer_24_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,24,gcn_node_ppi_final,gcn_node,adam,train,False,layer_24_1500,./checkpoints,10,step,indegree,indegree,True,79.49333153321697,0.4374261200428009,72.77155732161987,0.7273690700531006
2022-01-20 11:35:02,2.2h,294a757d3d7b44958714e7e177a99952,layer_20_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,20,gcn_node_ppi_final,gcn_node,adam,train,False,layer_20_1500,./checkpoints,10,step,indegree,indegree,True,80.09757595044536,0.42554599046707153,75.075553108599,0.5706906914710999
2022-01-20 11:29:23,2.2h,319d2961eb4e48b8a22d1295d572a9c3,layer_16_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,16,gcn_node_ppi_final,gcn_node,adam,train,False,layer_16_1500,./checkpoints,10,step,indegree,indegree,True,81.62740162846241,0.39594560861587524,79.33076402894058,0.44064873456954956
2022-01-20 11:18:30,2.2h,2c3b46ce117f4a87b38658393d958754,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,12,gcn_node_ppi_final,gcn_node,adam,train,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,80.85802867971108,0.4116502106189728,79.149436568303,0.4416921138763428
2022-01-20 09:30:35,2.3h,4be829b65cf745a5933de02b25c3ad04,layer_24_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,24,gcn_node_ppi_final,gcn_node,adam,train,False,layer_24_1500,./checkpoints,10,step,indegree,indegree,True,79.31269307051633,0.4416724741458893,72.21575574054016,0.6954814791679382
2022-01-20 09:20:31,2.2h,18e79b0922794d419c2d4a51fec8a184,layer_20_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,20,gcn_node_ppi_final,gcn_node,adam,train,False,layer_20_1500,./checkpoints,10,step,indegree,indegree,True,79.55162637299054,0.4368695318698883,73.47562252769283,0.5424233675003052
2022-01-20 09:15:04,2.2h,e52b60eede5c48bca928f55158ba67b0,layer_16_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,16,gcn_node_ppi_final,gcn_node,adam,train,False,layer_16_1500,./checkpoints,10,step,indegree,indegree,True,80.59974412631674,0.415348082780838,75.41127820898737,0.5299620628356934
2022-01-20 09:05:26,2.2h,f1d31890c4b74ec8864d34a758c001b9,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,12,gcn_node_ppi_final,gcn_node,adam,train,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,81.15366564767223,0.4052845537662506,80.60095391409986,0.416354238986969
2022-01-20 07:02:36,2.2h,8dd6d5415544417ab2edf37c966f916c,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,8,gcn_node_ppi_final,gcn_node,adam,train,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,81.45639057381923,0.4003991484642029,80.17606118455305,0.4276157319545746
2022-01-20 06:53:23,2.1h,1b345f58c8f64dfe983f3b1b73175394,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,4,gcn_node_ppi_final,gcn_node,adam,train,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,80.55020878135338,0.4216715395450592,80.92426137485712,0.4166913330554962
2022-01-20 04:52:58,2.2h,ec4e8d2355af471d9d9267be22a94b17,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,8,gcn_node_ppi_final,gcn_node,adam,train,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,81.33178073296881,0.4037763178348541,81.04230375641079,0.41289016604423523
2022-01-20 04:44:51,2.1h,4ddceafad7f1432dbb9677abcc5724dd,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,4,gcn_node_ppi_final,gcn_node,adam,train,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,80.61424149203931,0.4199901819229126,81.02180717051364,0.41510093212127686
2022-01-20 02:43:25,2.2h,90fb0e2c46714bbf887ac85bcbede73d,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,8,gcn_node_ppi_final,gcn_node,adam,train,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,80.96232292158886,0.4106125831604004,80.65825458854225,0.421011745929718
2022-01-20 02:36:19,2.1h,00f0936b3bef4da8b2c94bb12b2c88ee,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,4,gcn_node_ppi_final,gcn_node,adam,train,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,80.47772195274052,0.42289066314697266,80.70627943579034,0.41975903511047363
2022-01-20 00:33:47,2.2h,3e4aa8cc752841e0984fbad82166c7d4,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,8,gcn_node_ppi_final,gcn_node,adam,train,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,81.24164633499522,0.4046480059623718,80.7490679289771,0.420824259519577
2022-01-20 00:27:39,2.1h,8cc84152f80544539f5c00de37504801,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,4,gcn_node_ppi_final,gcn_node,adam,train,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,80.64336480322478,0.4203486442565918,80.83344803442229,0.41747215390205383
2022-01-19 22:21:55,2.2h,f52cf8084af74c25b19dc5b1c72d4394,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,8,gcn_node_ppi_final,gcn_node,adam,train,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,81.46404106836907,0.40041133761405945,80.8398812694119,0.4185461699962616
2022-01-19 22:16:35,2.2h,8723c25624df451aac9a083757dbccd8,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,4,gcn_node_ppi_final,gcn_node,adam,train,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,80.43300834803964,0.4242643713951111,80.7284217329639,0.4206208884716034
