Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,beta1,beta2,data_dir,dataset_name,ffn_dim,gpu_ids,hidden_dim,is_train,loss_name,lr,lr_decay_gamma,lr_decay_iters,mlflow_root_dir,n_epochs,n_layers,name,network_name,optimizer_name,phase,prob_survival,regression,run_name,save_dir,save_freq,scheduler_name,train_transform_name,val_transform_name,verbose,train_accuracy,train_loss,val_accuracy,val_loss
2022-01-18 23:11:43,2.2h,11bc6899420b4d0598e569617ace4dd5,layer_16_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,16,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_16_1500,./checkpoints,10,step,indegree,indegree,True,82.86445123774072,0.3631460964679718,83.0593473408298,0.3600442111492157
2022-01-18 23:04:05,2.1h,2fb4ecb5087143b9a1147cdb10c9970a,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,12,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,82.88121482138666,0.36264583468437195,83.06503252523922,0.3604533076286316
2022-01-18 23:01:17,2.1h,3bad3ddb851b4d61afe932a1ef10b62c,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,8,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,82.60568451032013,0.36923328042030334,82.9754160657327,0.3617915213108063
2022-01-18 23:01:07,2.1h,b19406a2bc9e43a7a5b05df03b1c32d3,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,4,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,81.61216492923292,0.3916226029396057,82.54005062806327,0.37410029768943787
2022-01-18 20:55:18,2.1h,dd03dca68e844d9782f59038866053b4,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,12,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,82.80152752731516,0.364709734916687,83.09375766751845,0.35958749055862427
2022-01-18 20:52:44,2.1h,03762ec065714299965895591b47298b,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,4,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,81.99118585880016,0.3839617669582367,82.52733376820007,0.37449875473976135
2022-01-18 20:52:42,2.1h,bd5d034b355c4c9b8bb9b060db7bb762,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,8,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,82.57370029991225,0.3693421185016632,82.98708565478363,0.3621150553226471
2022-01-18 18:43:56,2.2h,de72f7741872413590ccf91f93786f84,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,12,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,82.80575458627861,0.36434683203697205,83.05755201943734,0.36029064655303955
2022-01-18 18:41:46,2.2h,12bece3a5c18468c98ca8c4d16a75533,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,8,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,82.72838172753309,0.36681124567985535,82.95297454832706,0.36259424686431885
2022-01-18 18:41:32,2.2h,d38840f320b543688351db1c288af4d7,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,4,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,81.47662581045417,0.3954241871833801,82.52119975344253,0.37408778071403503
2021-12-12 08:59:08,2.2h,40f286b8b2954bf58678c8eaf966bca0,layer_20_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,20,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_20_1500,./checkpoints,10,step,indegree,indegree,True,83.0332603643307,0.3586326241493225,83.13235707745615,0.35976916551589966
2021-12-12 06:49:51,2.2h,728671e88437478f883c80b699e614d5,layer_20_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,20,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_20_1500,./checkpoints,10,step,indegree,indegree,True,82.87525193592872,0.3622821867465973,83.14342822604293,0.3601086437702179
2021-12-12 04:40:34,2.2h,980bd39f4fc14610be6edc316cebd997,layer_20_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,20,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_20_1500,./checkpoints,10,step,indegree,indegree,True,82.96463092792784,0.36009323596954346,83.14342822604293,0.35945528745651245
2021-12-12 02:31:12,2.2h,cca96e1f54aa4634ae0b4d6a469dc1fa,layer_20_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,20,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_20_1500,./checkpoints,10,step,indegree,indegree,True,82.9664310442925,0.3600538372993469,83.06263876338262,0.35990428924560547
2021-12-12 00:19:10,2.2h,5694b8258bd848aaacec8997216ccb66,layer_20_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,2084,"[0, 1, 2, 3, 4, 5, 6, 7]",128,True,bce,0.0025,0.3,300,./mlruns/,1500,20,mlp_node_ppi_final,mlp_node,adam,train,0.8,False,layer_20_1500,./checkpoints,10,step,indegree,indegree,True,82.97805143832512,0.36013829708099365,83.15001107114858,0.35966411232948303
