Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,beta1,beta2,data_dir,dataset_name,dropout_rate,gpu_ids,hidden_dim,is_train,loss_name,lr,lr_decay_gamma,lr_decay_iters,mlflow_root_dir,n_epochs,n_heads,n_layers,name,network_name,optimizer_name,phase,regression,run_name,save_dir,save_freq,scheduler_name,train_transform_name,val_transform_name,verbose,train_accuracy,train_loss,val_accuracy,val_loss
2022-01-19 20:06:38,2.2h,61015f4f129b4f0aa020ba1a694f8c66,layer_16_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,16,gat_node_ppi_final,gat_node,adam,train,False,layer_16_1500,./checkpoints,10,step,indegree,indegree,True,76.61222921910309,0.4925006031990051,74.50598739684382,0.5439596772193909
2022-01-19 20:02:25,2.2h,4f7c88faf9f949689999618569790829,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,12,gat_node_ppi_final,gat_node,adam,train,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,80.18153852088295,0.4215863049030304,80.93189149077504,0.4086417853832245
2022-01-19 19:57:45,2.2h,95d0fa2aa513409fb3c59bab069b297d,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,8,gat_node_ppi_final,gat_node,adam,train,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,83.15012327582605,0.3685533106327057,85.07728858594503,0.33149203658103943
2022-01-19 19:53:04,2.2h,1663cc024ec04f76a5ad8dae4bb40e18,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,4,gat_node_ppi_final,gat_node,adam,train,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,81.1859552349634,0.40850234031677246,82.666321565999,0.3835661709308624
2022-01-19 17:54:02,2.2h,3e7c5cef137a41d7b7e3be50c38c6757,layer_16_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,16,gat_node_ppi_final,gat_node,adam,train,False,layer_16_1500,./checkpoints,10,step,indegree,indegree,True,82.22875300153332,0.3854493796825409,79.08645070945117,0.4362579882144928
2022-01-19 17:51:03,2.2h,8b46561a97914003a371ce0eba3bf1b2,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,12,gat_node_ppi_final,gat_node,adam,train,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,83.11169400593396,0.36696943640708923,84.0455772257497,0.3502272963523865
2022-01-19 17:47:24,2.2h,cb8a89e40c5048069d38867c3fea43b5,layer_8_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,8,gat_node_ppi_final,gat_node,adam,train,False,layer_8_1500,./checkpoints,10,step,indegree,indegree,True,82.45577660555914,0.3818134665489197,84.39985398052676,0.3444600999355316
2022-01-19 17:43:59,2.2h,4d44d710236b43aeab0282088ad58895,layer_4_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,4,gat_node_ppi_final,gat_node,adam,train,False,layer_4_1500,./checkpoints,10,step,indegree,indegree,True,81.717150287215,0.39843350648880005,83.35153589745124,0.3709239065647125
2022-01-19 15:41:25,2.2h,ae8c3593821645799c371559a11a4762,layer_16_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,16,gat_node_ppi_final,gat_node,adam,train,False,layer_16_1500,./checkpoints,10,step,indegree,indegree,True,83.21132723222465,0.36643409729003906,84.76026475006134,0.33790460228919983
2022-01-19 15:39:39,2.2h,b823d675b61e4d0fb2e3a08c23f6ab51,layer_12_1500,LOCAL,gnn/train.py,s84000,FINISHED,64,0.9,0.9,./inputs/PPI/,ppi,0.1,"[0, 1, 2, 3, 4, 5, 6, 7]",512,True,bce,0.0025,0.3,300,./mlruns/,1500,1,12,gat_node_ppi_final,gat_node,adam,train,False,layer_12_1500,./checkpoints,10,step,indegree,indegree,True,83.13541696802544,0.3689172565937042,84.75532761623211,0.3367745280265808
